关键词,频数,二级,情感
上述家暴帮凶的前者,0.672219444,思想深度,正向
不同的立场和解读,0.672219444,思想深度,正向
不是人之善恶,0.672219444,思想深度,正向
一个勇敢的正义的孩子被毁掉,0.672219444,思想深度,正向
不论选择哪一方,0.672219444,思想深度,正向
不能原谅,0.672219444,思想深度,正向
一旦讨论起来,0.672219444,思想深度,正向
从轻网开一面时,0.630680479,价值导向,负向
但不道德,0.630680479,价值导向,负向
倒是起到了让未成年不怕犯罪的作用,0.630680479,价值导向,负向
他却以欺负他人为乐,0.630680479,价值导向,负向
其父在法庭公然叫嚣,0.630680479,价值导向,负向
却在告诉未成年人维护自己的权益会被报复,0.630680479,价值导向,负向
先穿校裤,0.630680479,价值导向,负向
又违背了,0.630680479,价值导向,负向
公然打人,0.630680479,价值导向,负向
作为一部维护未成年人权益的剧,0.630680479,价值导向,负向
未能清晰解释为何对未成年加害人判处有期徒刑而非死刑,0.620954666,思想深度,负向
也不对法律的滞后性,0.620954666,思想深度,负向
根源的挖掘不够深入,0.620954666,思想深度,负向
对人性,0.620954666,思想深度,负向
导致对未成年人犯罪形态,0.620954666,思想深度,负向
局限性进行探讨,0.620954666,思想深度,负向
既不普法,0.620954666,思想深度,负向
既然回避了,0.620954666,思想深度,负向
未成年人不适用死刑,0.620954666,思想深度,负向
缺乏对法律原则背后原因的剖析,0.620954666,思想深度,负向
,0.00022,价值导向,负向
,8.00E-05,主题立意,负向
,6.00E-05,社会反思,负向
