评论id,评论内容,状态
319422901_40,前几集看下来，女主都28了，情绪控制能力为0，她妈也是。看了5集，偏执狂可能还没到，但是不靠谱是真的。没看出来哪点是女性向。孩子怀了俩仨月男的就说‘给我生的是儿子’。孕妇都大出血住院了吃饭还在担心自己吃胖了老公会嫌弃，真的是封建糟粕的要命。,新增
319423545_40,这剧各种callback真的很戳我,新增
319433678_40,剧质量真不错，好看，数据也在变好,新增
319433822_27,我觉得很有新鲜感，好像每个片头都是主创们自己的成长故事，真的好适合文艺批呀,新增
319423352_41,顾康琪这个角色设定上还是疼苏苏的，但三观不合明显，他对吴俪梅的伤害和漠视反映出其自私和不称职。演员方面，演女朋友的演员帅气又憨厚，但年轻爸爸的演员气质不符人物设定，老年版则比较符合。吴俪梅具有典型的NPD性格特征。顾康琪自我认定为深情好男人，会赚钱、疼老婆，但实际上只爱自己塑造的形象，忽视了妻子的精神需求。,新增
319419987_19,这个转场‘是妈妈也是女儿’体现了‘女性传承’的主题，从姥姥和梅梅到梅梅和苏苏，三代人两对母女互为对照，情感真挚，展现了现实中母女之间相携扶持的成长，令人动容。这一组镜头处理细腻，配合恰到好处的BGM（疑似福禄寿的《起风了》），增强了情感张力，堪称封神之笔。,新增
319434751_33,这个剧的结构太割裂了，青年吴俪梅和中年吴俪梅的人设不统一，导致双线并行显得错误。中年吴俪梅的塑造太扁平，性格从青年时期的闪耀变得固执、传统又公主病，缺乏合理的过渡和解释。演员在口音和表达方式上的差异也加剧了角色的割裂感，影响了整体观感。,新增
319435946_42,小顾感觉就是开朗向上且体贴的女孩子,新增
319435722_42,这剧宣传太少了，但确实是好剧，值得被更多人看见。周姐粉丝和何洛洛粉丝为剧集争取宣传，表现得理智且上心，希望能有更多宣传让更多人关注到这部有深度的作品。,新增
319261923_30,吴俪梅想要的是被看见的价值，她在这个家里所做的，丈夫是看不见的，他认为一切理所应当……洗衣做饭带孩子……所谓的男主外女主内。但是他们俩有交流吗？有精神共识吗？其实早就没了……剩下的只是躯壳。韩东君不着家、不关心小孩的缺陷，被他的事业忙碌所掩盖了，仔细分辨的话，是很明显的。最无法容忍的是他在妻子认真表达诉求时却在睡觉，完全不尊重妻子的想法和意愿。这个丈夫塑造得‘不够坏’，表面上脾气好、不家暴不出轨，反而让妻子的离婚显得像无理取闹，但恰恰是这种看似无问题的关系中最缺乏平等与尊重。剧里把梅梅要离婚的原因说得很明白：她内心孤独，无法诉说，婚姻成了困住她的壳。她选择离婚是为了找回自我，勇敢做自己。选角方面，韩东君看起来太靠谱、太精英，削弱了角色的说服力，反而陈明昊的表演更有那种不靠谱、自以为是的质感。此外，顾在人际交往中边界感模糊，虽未出轨，但行为已让妻子感到被忽视和不被尊重。这部剧揭示了婚姻中隐形的情感剥削，以及女性在家庭中长期‘不被看见’的困境，也反映了社会对女性离婚动机的误解与苛责。,新增
319436066_29,青年吴丽梅更具女性特色和表演特色，角色刻画得很好，周雨彤演绎得传神到位；青年组表演有血肉感，周雨彤在不同角色间表现出松弛与紧绷的精准把握。,新增
319436723_31,吴俪梅清醒果断有行动力，小苏苏从小就知道维护妈妈，她们是双向奔赴的爱；小顾云苏和青年吴俪梅是理想中的母女相处模式，相互依赖、治愈和支持；吴越演绎中年吴俪梅非常动人，与母亲相爱相杀的情感以及和李建雄的半路夫妻关系都表现得很真实感人。,新增
319446232_41,外婆离世这段情感处理很真实，让人反思与家人的相处，触动很深。,新增
319444769_21,这剧台词真棒，编剧给母女两代都安排了理解支持她们的女上司女同事，体现了清醒和温暖的女性力量。,新增
319446232_42,外婆的演员演得非常好，情感真实；李漠导演擅长刻画真实细腻的情感场景，外婆突然离世的安排更凸显了珍惜当下的主题，具有感染力。,新增
319547277_24,吴丽梅就是普通结婚的女人的缩影，她感受到婚姻的窒息，比普通人更勇敢一点，想自救了而已。这个剧真实反映了婚姻中的女性困境，值得深思。,新增
319527770_38,我觉得演技和人设都没问题，剧拍得很用心，是部很好很用心的作品，人设剧情都没毛病，好剧不该被埋没，真的是好剧。,新增
319546178_34,看了前7集觉得不合理和割裂的地方不少，看着很压抑；11集小徐医生笑到我肚子疼，第八九集讲外婆的剧情天天哭；10集开始剧风转向喜剧，感觉剧好起来了；孟慧圆歌声一出来又觉得压抑；剧有意思，人物设定用开放的心态看待并不突兀；推荐身边人看，看过的都说好。,新增
319541559_9,我觉得周雨彤对青年吴俪梅的诠释不是特别到位，她演的青年吴俪梅太奇怪了，角色演绎缺乏说服力。剧情本身没有太大的不合理，但表演让角色显得割裂。整部剧剧情悬浮，人物经不起推敲，很多人设是工具人，剧情发展莫名其妙，闪回众多，整体构成显得稀巴烂。导演和编剧为了丰满中年吴俪梅怀孕的动机，给青年吴俪梅增加了不必要的戏份，把双女主变大女主，有加戏之嫌。剧中的借力和共生主题毫无体现。,新增
319553678_36,妈妈不只爱苏苏还理解苏苏,新增
319553678_37,吴俪梅亲口对苏苏说了“把你生出来，是我做过最勇敢的事”，小时候也没少对女儿表达自己的爱，包he的,新增
319541559_8,青年吴俪梅这个角色的缺陷太过于明显，为了所谓的独立而独立，完全不顾实际，成了一个很悬浮、脱离生活的角色，让人无法产生共情。一些台词单独看写得不错，但更像在喊口号。人设前后割裂的问题比较大，两条线穿插能看出导演的用意，但整体处理不够好。顾云苏也继承了一部分这种不考虑后果的特性，让人质疑剧情的现实性，更像是大女主套路化的写作。这种设定是为了突显大女主而自找苦难，却没有真正突破传统的解决方式，骨子里并未向上突破，反而被生育轻易耽误了发展，显得难受且不真实。,新增
319558703_39,生气的是剧组打着所谓的双女主母女线条，但是并没有公正对待吴俪梅这个角色的完整性，他一部分写得很出彩另外一部分完全换人了；宣发引导性视频公然引导大家对中年吴俪梅的抵触；导演为了剧集质量认真做后期退档可以理解；喜欢导演李漠对角色的坚持和用心；周雨彤参与OST演唱是很好的尝试，希望继续坚持；陈昊宇演唱OST贡献突出，值得肯定；今天母女俩的温情戏份处理得不错，顾云苏的角色也很讨喜。,新增
319552132_16,中年吴丽梅这个角色被塑造得坚强、勇敢，作为二胎妈妈展现出温柔又坚定的一面，具有闪光点。青年吴俪梅的离婚情节合理，源于长期家务生活中的落差感和丈夫未能平等对待她的情绪与需求，这一设定增强了人物动机的说服力。母女线的成长矛盾集中在中年吴丽梅身上，推动了剧情发展和亲子关系的修复。戏剧的冲突感体现了角色的复杂性，不同年龄阶段的吴俪梅性格有延续也有变化，整体人设丰满，演员表演真实细腻，展现了女性在不同人生阶段的困境与觉醒。,新增
319580673_37,苏苏的帽子很可爱，也让人感觉满满的安全感,新增
319585129_36,这段好美好，他们也是有过一段美好时光的；越美好，越唏嘘。,新增
319594848_9,吴越真体面人,新增
319587180_36,很会演，帅帅爹地感🈶️,新增
319587180_35,韩东君演爸爸很宠女儿，表现出温柔细腻的一面，父子长得像，增加了角色的真实感。,新增
319558703_38,中年吴俪梅的角色塑造体现了对自由的向往和对自己认定之事的坚持，这种精神内核从青年到中年是一以贯之的。她不催婚不催育、支持女儿不为钱妥协作品，展现了新时代女性的积极思想。尽管角色存在情绪不稳定等不完美之处，但她的高光在于及时抽离和坚持自我，是复杂而真实的女性形象。剧集通过多角度、多层次呈现女性主义议题，具有细腻轻盈的表达。宣发对中年吴俪梅的刻画存在偏差，抖音剪辑强化了‘为了你好’的冲突面，削弱了角色的正面立意，导致观众误解。戏份与高光分配在角色间略显不均，影响了人物完整性的传达。整体而言，该剧在女性角色塑造上有突破，三代女性关系的呈现也富有现实意义。,新增
319680253_34,好尬,新增
319680253_35,我觉得喝醉酒还好，他劝实习生那里演得才尴尬,新增
319674325_35,耿乐演技很不错！他也是李漠的老熟人了，每部片子里都有客串，这一部戏份更重。,新增
319662682_35,吴越被采访说她是冲着李漠导演才出演的，吴老师眼光准啊。,新增
319649611_4,前半部分，最精彩的就是外婆的戏份，演的太好了。外婆这个角色真的演得特别好。起风啦那首歌太猛啦，强情节。导演想表达的就是珍惜眼前人。这地方是个败笔，没有一点铺垫，可以在她家的时候多少介绍一下比如身体有过不适。没必要铺垫啊，这里就是要那种你以为这只是日常的相处，你以为所有的矛盾和冲突都还要发展，所有的亏欠还有机会弥补，但其实意外就是说来就来的。,新增
319636395_18,作为母亲，吴丽梅确实有问题，她站在自己的角度做事，但方式上显得自私，比如破坏女儿的合作项目，让人难以接受；不过角色情感复杂，行为背后有现实情绪的投射，比如中年女性的心理状态和家庭关系的张力，有一定真实感。前期对她的反感较强烈，但剧情展现了代际沟通的困境，具有一定讨论价值。,新增
319734837_35,有点喊口号过多，但为了继续看下去忍了,新增
319754919_35,昨天两集吴俪梅特别可爱,新增
319760100_29,周雨彤这演技还不好？90花还有谁，你说说。,新增
319751070_1,这部剧很好，但我觉得也有不足，里面的人太好了，有点不真实，不管是前男友、暧昧对象（妇产科医生）、投资人、亲生父亲、继父、继弟、继母、闺蜜，人设都是好人，世界哪有这么岁月静好。唯一有点瑕疵的外婆，其实反而更真实，但我一点也讨厌不起来，更多是心疼。这个演员朱茵以前演的婆婆岳母的角色，我看着就烦，这次真的重生了。,新增
319833200_31,周雨彤确实演得好,新增
319751070_2,李建雄对李言的关心不够，尤其在李言复读高考的关键时期，缺乏应有的支持和情感表达，显得父爱缺失；剧中李言的懂事和隐忍被刻画得过于突然，情感线收束仓促，显得不够真实。李健雄对继女客气、对儿子冷淡的态度反映出传统父亲形象的局限，表达爱的方式笨拙但并非全然冷漠。保险受益人一直有李言、为妻子付出诸多细节（如陪产检、学跳舞、做饭）体现其责任感和诚意，但对高龄产妇风险了解不足、前期疏于学习，引发对其真心的质疑。整体人物塑造存在矛盾，编剧试图塑造完美男性形象，却在细节上留下漏洞，导致角色不够立体。李言作为重组家庭中的‘透明人’，其心理变化和成长线值得同情，也反映出离异家庭子女的普遍困境。,新增
319841615_34,这和人物不符吧,新增
319842717_34,吴越老师看起来好年轻,新增
319838262_34,我不喜欢徐文斌离过婚的设定，一家人都去挂前妻号那里，让人感觉不舒服；从这个设定出现后，每个剧情都让我下头，影响观感。相比之下，秦宇轩的人设更好一些。,新增
319841193_33,徐医生这个角色前期表现不错，但整体缺乏出彩之处，性格四平八稳，演技较为一般，尤其醉酒戏份显得尴尬，未能将本应出彩的台词和情节自然呈现，情感爆发戏如又哭又笑发癫发疯的段落处理不到位，影响观感。相比之下，秦宇轩和李言角色更具活力且讨喜。,新增
319913829_11,国产剧在男性语境下存货太久了，在中立的视角已经有很多人说女性角色作了，不敢想象纯女本位得被苛责成什么样；这根本不是女性主义剧，仅仅是中立，就已经有人不适了，可是女人已经失声太久了。,新增
319943505_24,吴俪梅是行走的反PUA教科书，能自己做决定，也能对结果负责；她通透，知行合一，这种精神状态让人羡慕，给人力量。,新增
319913829_12,李漠的导演视角比较中立，不执着于拍男性主导的戏份，对女性角色没有恶意偏见，塑造时带有善意，尊重女性。他没有刻意强调拍职场剧，而是坦诚拍摄职场背景的爱情剧，风格实在。他对亲情题材的处理开放，愿意拍母女关系，关注女性视角，细腻呈现母女情感的复杂性，填补了市场上此类题材的空白。其作品没有男凝意味，表现出感性、温柔的特质，能真实呈现人物情感。,新增
320007975_24,"很喜欢，吴俪梅这个名字在剧里面一直被提起,而不是妈妈，老婆",新增
320005695_29,青年吴俪梅和中年吴俪梅人设割裂，不能只归咎于青年吴俪梅演得不好，中年吴俪梅的演绎也有问题。,新增
319998202_6,吴俪梅是勇敢践行信念的角色，在特定年代展现出可嘉的勇气，值得赞叹和学习。她的形象反衬出现实中很多人尤其是已婚女性缺乏突破自我牢笼的勇气，揭示了部分观众对非完美主角难以共情的局限性。,新增
320001300_11,我觉得周雨彤演得挺好，她是在演绎吴越老师扮演的年轻版吴丽梅，而不是直接演吴俪梅，因此不能简单用‘演员要成为那个人’来评判。演员对同一角色的理解可能不同，部分模仿是为了观众体验考虑。这部剧在塑造母女关系上写实且能引发思考，但受众可能不广。李漠的剧整体走小众精品路线。关于表演割裂的争议，关键在于青年和中年吴俪梅之间缺乏人物成长的连贯性，导致角色本质不统一。播得不好不能全归咎于演员或观众，导演和宣发也需承担责任。,新增
319998202_7,我觉得吴俪梅这个角色挺真实的，她敢爱敢恨，有个性有态度有温度，勇于追求自我，离婚是她在婚姻中自救的表现。她在婚姻里不爱自己，过得一塌糊涂，逆来顺受，但最终选择为自己而活，这种觉醒和勇气值得肯定。剧集通过她展现了女性从传统角色中挣脱、追求主体性的过程，具有现实意义。吴越的演绎让这个角色更有层次，既有强势的一面，也流露出内心的不安全感，表演细腻。剧情对母女关系的刻画也很真实，尤其是亲人之间那种伤害与无条件的爱并存的状态，令人共鸣。整体上，这部剧在女性议题上的表达是深刻且勇敢的。,新增
320008168_5,爱情而已很好看；赵简是值得支持的演员，她在《问心》中愿意出演小角色体现其认真态度；周雨彤演技好，业务能力过硬，选剧眼光佳，是好演员；张新成、苏晓彤、王佑硕发展良好；《大宋少年志》剧本优秀，群像塑造好，氛围佳，是值得长期支持的作品；人剧分离，演员只要演技好、大节无亏，作品就值得观看；周雨彤凭借剧作表现圈粉，外形和演技兼具；演员应专注演技和作品，真人秀剪辑不可尽信，作品才是根本；周雨彤的剧从未让人失望。,新增
320019501_28,剧情还可以，后面一家人聚在一起真的很感动。,新增
320022790_25,他爸爸那个演员感觉瘦了好多，健身的时候确实像哥哥,新增
320032942_28,他演技一直很棒，从装腔里就演得很贴角色，简直演啥像啥。,新增
320015535_28,每一集都在哭，前面情感渲染非常强烈，片头也很打动人；李叔误诊那段情绪复杂，又哭又笑，剧情感染力强。,新增
320037540_28,这个拥抱的设计很巧妙，两个人表情的刻画耐人寻味，情感表达含蓄而深刻，我很喜欢。,新增
320153707_6,这部剧主要讲女性的自由，强调女性要有自己的选择，不需要别人指手画脚。无论是选择做全职主妇还是离婚追寻自我价值，都是个人自由，没有对错。剧中吴俪梅想要上学工作，弥补退学遗憾，但顾康旗不尊重她的需求，觉得她没必要学习，导致她感到被限制于家庭，最终提出离婚。顾康旗对妻子不闻不问，身边女伴不断，也反映出他并非深情之人。剧集传达的核心是女性应拥有自我，掌握人生主动权，自己的人生自己做主。,新增
320148885_15,顾云苏的性格塑造真实且不成熟，符合剧情发展需要；她喝酒发泄情绪的行为推动了后续剧情，具有合理性。女性角色被塑造得较为冲动，而男性角色也并非完全理性，如顾云苏的父亲、前男友和徐医生都有各自的脆弱与不完美。剧中人物性格多样，展现了非理想化的人性。顾云苏在工作中有才华、肯努力，但被同事误解为靠关系，凸显了职场中的复杂人际关系。她敢于直白表达情感，与现实中多数人隐忍形成对比，增强了角色的真实感和戏剧性。整体角色塑造和剧情逻辑较为合理，反映了现实中的某些人际现象。,新增
320259876_24,外婆和吴丽梅一样是很个性自我的人，还喝酒，抽烟也不违法乱纪，体现出角色的真实与独立性格。,新增
320243634_14,七斋是真的，他们现代装都好好看,新增
320295902_22,他妈妈很了不起,新增
320269658_19,梅梅冲到家暴男家里去救人，这一行为让人喜欢；她漂亮且会读诗，这两点是李建雄不具备的。她的跳舞表现了一种自由和快乐的释放，与云喜阿姨共舞的场景也充满情感。在舞厅的经历帮助她认识客户，走上卖衣服和自我提升的道路，体现了角色的成长与独立。,新增
320269658_18,梅梅漂亮，勇敢，热情，还是编辑，文艺感满满，人到中年也是一样，这些特质是李建雄身上没有的，构成了角色吸引力；李建雄外表平凡、经济条件一般，但被塑造成踏实、稳定、有爱的功能性男性形象，反映出剧中男性角色普遍被美化，服务于女编剧视角的情感逻辑。两人初遇在离婚现场，李建雄一见钟情可能出于外貌吸引，而梅梅选择他则可能源于对安全感和被珍视的渴望，这种情感动机虽有争议，但体现了人物关系的复杂性。,新增
320491990_21,特别喜欢外婆在的那3集，也很喜欢有外婆的戏。,新增
320476619_22,外婆演得太好了，由年轻时的“专横独断”到现在的“碎碎念”，边委屈、边奉献，有着年代赋予的古板，也在努力地理解年轻人的观念，可爱又让人心疼，真的看哭了。,新增
320496594_18,李漠是个挺有品味的人，他的每部剧里主人公的家都弄得很舒服，有格调。男主家里特别精致，各种时髦灯具，美式现代加一点点包豪斯，家具都是原木色，风格统一，温馨温暖，不是简单大路货的装修，光是布置好这些就不容易了。,新增
320492339_6,我觉得周雨彤演技好，这部戏真的发现她小表情和情绪转换爆发力都不错了，果然演员是靠天份的，比好几个中戏出生的小花演技好。她塑造的吴俪梅和顾云苏虽然有人觉得没区别，但我认为情绪转换和细节处理到位。吴俪梅从年轻到中年的转变，剧中虽未完全交代清楚，但周雨彤在有限的表演空间里展现了角色的情感层次。清醒大女主也可以再次投入爱情，这不等于恋爱脑，人物动机有其合理性。,新增
320476875_9,这部剧的立足点并不中立，编剧通过对白引导观众认为母亲婚后生活的不如意纯粹是父亲造成的，显得偏颇。前三集角色的台词设定让立场偏颇，为了制造矛盾而牺牲角色合理性，影响了编剧水平的评价。剧中吴越饰演的角色并非典型‘觉醒’女性，但她始终在挣扎寻找自我与幸福，保持主体性和自由，这种女本位思想在国产剧中较为罕见。外婆对孕妇的特殊照顾虽有差别，但出于弥补心理且自掏腰包，并非恶意，整体表现了家庭中复杂的情感互动，人物鲜活真实。梅梅不后悔与顾康旗结婚，离婚并非归咎于某一方，而是性格与人生追求的不同。,新增
320789691_17,我最讨厌的就是李建雄。电视剧里是公务员小领导身份，展现出“有大把空闲时间”的生活。,新增
320774439_16,这部剧感觉人设和事情都没办法推敲，越到后面越想弃剧。,新增
320687249_18,她这几年总演婆婆妈妈，我可能是网上少有的看过她年轻之演的剧的观众，她长的不算漂亮，但是演戏给人的印象很深，老剧《婆婆媳妇小姑》里她演的男主前妻，还有一个小众老剧《千秋之约》，女主是何晴，她演的一个女企业家，不知道是不是巧合，这两个角色都是事业心很强的单亲妈妈，她很适合演这种角色。,新增
320808997_17,她的存在传递了一种不完美的真实感，让人感到焦虑情绪被稳稳托住；她始终能够坚持，源于足够的自信、聪明以及90年代大学教育带来的底气。,新增
320624702_10,这部剧刻画了女性在婚姻中对情感需求、尊重与自我实现的追求，展现了吴俪梅作为一个有知识、有梦想的90年代女大学生，因前夫忽视其精神需求、不尊重其独立价值而选择离婚的合理性。剧中通过她被困于家庭却渴望实现自我价值的落寞，以及后续积极考学、认真生活的情节，表现了女性挣脱传统角色束缚的真实困境与勇气。虽然剧中有部分情节被认为悬浮，如女主妈妈离婚后迅速找到工作、频繁出入歌舞厅等，缺乏对女性独立过程的扎实描写，但整体上并非‘大女主’式爽剧，而是呈现了离婚后生活的艰辛与坚持。剧集强调婚姻不应是枷锁，女性择偶不只看物质条件，更看重互相尊重与情绪价值。同时，也反映出社会对女性的结构性压迫，以及男性在家庭责任分担上的缺位。尽管存在对沟通缺失、情感漠视的批判，剧作并未制造性别对立，也塑造了李叔、徐医生等尊重女性的正面男性形象。该剧的可贵之处在于真实呈现女性处境，引发对婚姻、独立与人生选择的思考，具有现实意义和超前视角。,新增
181273773_13,这首歌很好听，又老又新又好听。,新增
181171234_16,屁三发现自己被诈的时候那表情，绝了；柳爷出租车上那个笑绝了；国生演的确实不错；虽然是小角色，但演员们都是老戏骨；范长彪值得提名；老金给花儿装完监控跟老徐在马路边讲话那一段特别特别好。,新增
181660125_26,小吕的戏份和原著里的描写基本上一致；夏这个角色是加进来的；三位师傅教吕宝查发发信息时喷子的细心解释，以及酒桌上的对话，体现了三叉戟以吕宝视角展开叙事；小吕的成长体现在从最初挨打到后来能躲过老崔三下打头，反映了年轻警察的成长过程；剧中两次跟丢嫌疑人存在注水嫌疑，第一次是为了将夏总设定为英雄遗孤的女儿，第二次为赵凯被灭口埋下伏笔；小吕原型是作者吕铮本人，剧作通过他的视角侧面描写年轻警察的成长史。,新增
181875979_9,小雪这个演员长相有辨识度，浓妆时很美，气质上有王智、杨采钰、张雪迎等演员的影子，不同妆容下呈现不同感觉，淡妆和浓妆差异较大，整体形象讨喜，有人认为她比黄圣依还好看。,新增
317902064_46,徐蔓这演员表现自然，不突兀，演技正气，能hold住角色，处理情节恰到好处，比某些剧的关系户强。,新增
318185426_43,老田国字脸，一脸正气，说话字正腔圆，带气泡音；张建国贱嗖嗖的，带东北口音，两人形象和性格对比鲜明，很有喜感。,新增
317902064_45,徐蔓这个角色确实亮眼。一般剧中这个位置的角色特别是新人，很容易出现智商下线、莫名其妙添乱子、做派讨人厌的情况，徐蔓则完全没有，还机灵的很，也没有故意加戏。角色人设讨喜，演员演技在线，难能可贵，确实不错，希望以后能多些上剧的机会。演的很自然。徐蔓有点侠女的味道，整个开挂到不行。是的太棒了，尤其是穿瑜伽裤那集，非常性感。演技吊打李庚希 张子枫之流。李张演技也还可以，平心而论更有辨识度。而且还拥有很多宝藏技能，时不时的震惊你一下。,新增
318205853_18,陈阳这个角色写得差，显得小心眼、没情商，缺乏人物弧光和闪光点，与其他警察角色相比显得一枝独秀地负面；他对三叉戟的态度不符合省厅人员应有的处事方式，抢功挑刺显得不真实；其行为模式让人反感，板着脸、教训人、装腔作势，却没有相应能力支撑；但该角色也反映了体制内部分高阶人员存在的阶级观念和现实问题，具有一定写实性；整体塑造偏向脸谱化，缺乏立体感，令人难以理解其存在逻辑。,新增
318306787_44,呱嗒这个角色很鲜活又很真实，惨兮兮的又接地气，第二部还有点可爱；楚政委掏出180多万的时候还是帅的，2比1讨喜多了，感觉是以老夏的另一种形式融入了三叉戟。,新增
